id	jobPlace	name	company	salary	education	jobRequirement	jobExperience
1099	上海	商业化数据分析师-电商广告方向	北京字节跳动科技有限公司	3万-6万	本科		3-5年
1100	上海	数据分析师	欣网互联	6千-8千	大专	数据分析 Python SQL SPSS excel 	1-3年
1101	上海-闵行区	数据分析专员 6-9k 做五休二	上海人惠人力资源服务有限公司	6千-8千	大专	数据分析 	不限
1102	上海	抖音电商 - 数据分析师（平台治理方向）	北京字节跳动科技有限公司	2万-4万	本科		不限
1103	上海	数据分析师	中讯邮电咨询设计院有限公司	面议	本科	数据分析 	3-5年
1104	上海	数据分析助理	深圳市千凌源科技有限公司	6千-8千	大专	数据分析 数据治理 数据仓库 大数据平台 数据架构 	1-3年
1105	上海	游戏业务中台数据分析师	北京字节跳动科技有限公司	1.8万-3.6万	本科		3-5年
1106	上海-静安区	高级数据分析师	上海宝尊电子商务有限公司	1.2万-1.8万	本科	数据分析 Python 大数据分析 商业数据分析 	1-3年
1107	上海-静安区	数据分析专员	辽宁人瑞永道人力资源服务有限公司衢州分公司	8千-1万	大专	数据分析 	不限
1108	上海	短视频数据分析师	北京字节跳动科技有限公司	2万-4万	本科		3-5年
1109	上海-杨浦区	数据分析师-2021届 (MJ000482)	上海诺亚金融服务股份有限公司	8千-1.4万	本科	数据分析 	不限
1110	上海-徐汇区	高级数据分析师	太平洋房屋（总部）	1.5万-1.8万	本科	SQL Python MySQL 	3-5年
1111	上海	高级数据分析师 - 电商	北京字节跳动科技有限公司	1.5万-3万	本科		不限
1112	上海-松江区	数据分析岗(J10041)	正泰电气股份有限公司	1.4万-2.4万	本科	数据建模 数据挖掘 	3-5年
1113	上海-黄浦区	电商数据分析师（美妆/快消）	北京赞意互动广告传媒有限公司	8千-1.5万	本科	数据分析 数据挖掘 大数据分析 商业数据分析 数据中台 	1-3年
1114	上海	抖音电商 - 数据分析师（运营分析）	北京字节跳动科技有限公司	2万-4万	本科		不限
1115	上海	32413V-数据分析师	平安健康互联网股份有限公司	面议	本科		1-3年
1116	上海	数据分析岗	永诚财产保险股份有限公司	1万-1.5万	本科	数据分析 	3-5年
1117	上海	抖音电商 - 数据分析师（产品分析）	北京字节跳动科技有限公司	2万-4万	本科		不限
1118	上海	市场数据分析专员	上海朵安诺电子商务有限公司	7千-1万	本科	需求分析 数据挖掘 数据分析 大数据分析 	1-3年
1119	上海	数据分析师（大数据方向）	致数信息科技（上海）有限公司	1万-1.8万	本科	数据统计分析 市场营销 	3-5年
1120	上海-长宁区	情报分析师 轮胎行业数据分析 战略分析	济南智圆网络科技有限公司	8千-1万	本科	行业分析 数据采集 商业分析 需求分析 	不限
1121	上海-徐汇区	数据分析（实习生）	埃摩森	4千-6千	本科	数据分析 数据采集 数据架构 	不限
1122	上海	数据分析师-视频会议	北京字节跳动科技有限公司	2.5万-4万	本科		3-5年
1123	上海-青浦区	数据分析专员	跨越速运	5千-7千	大专	数据分析 	1-3年
1124	上海-浦东新区	数据/业务分析师	数策股份	8千-1.5万	本科	大数据分析 Python Pandas SQL NumPy 数据治理 数据清洗 数据分析 	不限
1125	上海-浦东新区	数据分析工程师	鼎晶生物	8千-1.5万	本科	数据分析 	1-3年
1126	上海-徐汇区	数据分析（实习生）	埃摩森	5千-7千	本科	数据分析 数据采集 大数据分析 数据建模 行业分析 	1年以下
1127	上海-黄浦区	数据分析文员 月薪4-7K 周末双休	人瑞集团	4千-7千	中专/中技	双休 	不限
1128	上海	26418Z-数据需求分析师	平安租赁	面议	本科		3-5年
1129	上海-长宁区	数据分析经理	上海恰成信息科技有限公司	2万-3.5万	本科	数据分析 数据挖掘 数字营销 电商运营 大数据分析 	5-10年
1130	上海-浦东新区	数据分析	上海威田资产管理有限公司	6千-8千	大专	数据分析 	1-3年
1131	上海-徐汇区	数据分析	埃摩森	4千-5千	本科	数据分析 数据挖掘 数据仓库 数据建模 	不限
1132	上海	本地生活-商业分析师-到家中台（专场）	阿里巴巴集团	面议	本科		无经验
1133	上海-徐汇区	数据实习生	北京万脉天和管理咨询有限公司	4千-6千	学历不限	工商管理 市场营销 数据统计分析 运营 	不限
1134	上海-黄浦区	数据分析专员/应届生	悠才信息技术(上海)有限公司	4千-6千	高中	数据分析 	无经验
1135	上海-宝山区	督控分析师	跨越速运	1万-1.5万	本科	数据分析 	3-5年
1136	上海-徐汇区	数据分析员 实习生急	埃摩森	4千-6千	本科	数据分析 	不限
1137	上海	运营分析师	上海占方信息科技有限公司	8千-1万	大专	数据挖掘 数据仓库 数据治理 数据监控 	不限
1138	上海-浦东新区	数据分析	盈天讯	6千-8千	大专	数据分析 行业分析 	1-3年
1139	上海-浦东新区	反欺诈调查岗（偏数据分析）	平安普惠融资担保有限公司上海分公司	7千-1.3万	本科	大数据分析 SPSS SQL Python 	1-3年
1140	上海-宝山区	数据分析文员（双休+绩效奖金+五险一金+带薪年假）	苏州人瑞永道人力资源服务有限公司衢州分公司	6千-1万	大专	数据分析 	不限
1141	上海-徐汇区	BA商业分析师（SH-smd）	北京瑞友科技股份有限公司	1.5万-2.5万	本科	数据分析 Tableau 商业分析 商业数据分析 	3-5年
1142	上海-徐汇区	数据分析专员	北京魔小方人力资源服务有限公司上海分公司	8千-1万	大专	数据分析 数据挖掘 	1-3年
1143	上海-静安区	益普索公司数据分析专员	西安博锐森自动化信息技术有限公司	1.8万-2.5万	本科	数据分析 ETL SQL 数据清洗 	1-3年
1144	上海	数据分析	广州人瑞人力资源服务有限公司佛山分公司	2万-2.5万	本科	Python SQL Oracle SQL Server SCRIBE 	3-5年
1145	上海-长宁区	数据分析文员（双休+五险一金+带薪年假）	苏州人瑞永道人力资源服务有限公司衢州分公司	6千-1万	大专	数据分析 	不限
1146	上海-浦东新区	数据分析实习生-上海	酷家乐	4千-6千	本科	Python SPSS 大数据分析 决策树 	不限
1147	上海	数据分析助理	深圳九零八零信息技术有限公司	6千-8千	大专	Tableau 数据分析 数据建模 机器学习 数据挖掘 数据仓库 	1-3年
1148	上海-浦东新区	业务数据岗	中国大地财产保险股份有限公司宁波分公司(保险部)	5千-8千	本科	数据分析 	不限
1149	上海	数据分析专员（VBA\TAB\SQL等优先）	欣和企业	8千-1万	本科	数据分析 数据处理 	1-3年
1150	上海-宝山区	资深数据分析专家 （BI方向、指标体系、咨询岗）	软通动力信息技术(集团)股份有限公司	3万-4.5万	本科	数据分析 数据治理体系 指标体系 数据架构梳理方法、 	5-10年
1151	上海	数据分析与运营专家	华为技术有限公司	面议	本科		无经验
1152	上海	数据分析专员	革乐美时尚有限公司	7千-1.2万	大专	数据分析 SQL 	1-3年
1153	上海-浦东新区	FICO 资深系统分析师	微创医疗	2万-3万	本科	数据分析 	5-10年
1154	上海-浦东新区	初级数据分析员（广兰路）	上海中智项目外包咨询服务有限公司	6千-8千	本科	数据分析 主数据维护 	不限
1155	上海-浦东新区	数据分析工程师（上海）	华讯网络系统有限公司	1万-2万	本科	数据分析 数据建模 数据仓库 模型设计 	1-3年
1156	上海	数据分析专员	上海笕尚服饰有限公司	6千-7千	大专	数据分析 数据分析师 	1-3年
1157	上海-浦东新区	数据分析专员	清美绿色食品	5千-8千	大专	数据分析 	1-3年
1158	上海	高级大数据分析与管理工程师-邮惠万家(筹)	邮储银行	面议	本科	高级大数据分析 管理工程师 	5-10年
1159	上海-徐汇区	Data Analyst/数据分析	科锐国际	1万-1.5万	本科	数据分析 SQL MySQL 	1-3年
1160	上海-浦东新区	应用开发岗（数据）（1）	永诚财产保险股份有限公司	1.5万-2万	本科	数据分析 ETL SQL 	1-3年
1161	上海-虹口区	瑞典汽车品牌—数据分析（高级）专员	上海中智项目外包咨询服务有限公司	1.5万-2万	本科	数据分析 	3-5年
1162	上海	数据分析助理	上海卓专管理咨询有限公司	5千-8千	本科	数据分析 数据挖掘 商业分析 商业数据分析 需求分析 SPSS SQL 	不限
1163	上海	数据工程师	北京泛鹏天地科技股份有限公司	1万-1.5万	本科	数据分析 数据挖掘 数据采集 SQL Server Oracle 	3-5年
1164	上海	数据专员	上海宝尊电子商务有限公司	8千-1.2万	大专	数据分析 	1-3年
1165	上海	任务调度分析工程师	润和软件	1.5万-3万	大专	OS 	1-3年
1166	上海	数据文员	上海浦东新区人才市场	6千-8千	大专	数据分析 	不限
1167	上海	京东数据运营	南京百思通贸易有限公司	7千-1万	本科	商业分析 数据采集 需求分析 SQL 	1-3年
1168	上海-徐汇区	腾讯数据优化师-0001	上海中智人才顾问咨询有限公司	1万-1.5万	本科	行业经验 	1-3年
1169	上海-浦东新区	数据分析岗	华瑞保险销售有限公司	9千-1.8万	本科	数据分析 需求分析 	5-10年
1170	上海-长宁区	数据建模工程师	格林豪泰酒店（中国）有限公司	1万-2万	本科	数据挖掘 	1-3年
1171	上海-嘉定区	数据分析文员 双休/五险一金/带薪年假	上海人惠人力资源服务有限公司	4千-6千	大专	数据分析 数据清洗 	不限
1172	上海	数据分析专员	上海陆杰电子科技有限公司	6千-8千	本科	数据分析 	3-5年
1173	上海-浦东新区	数据分析实习生-上海	酷家乐	4千-6千	本科	数据分析 	不限
1174	上海	数据分析工程师	上海守易信息科技有限公司	1.5万-2万	本科	数据分析 聚类 Python SQL 	不限
1175	上海-长宁区	高级数据分析（樊登读书）	上海全晓信息技术有限公司	2万-4万	本科	数据分析 数据挖掘 数据监控 用户画像 用户标签 	3-5年
1176	上海	12410L-大数据分析师	平安金服	1.5万-2万	硕士		1-3年
1177	上海-杨浦区	BI数据工程师	国泰财产保险有限责任公司	1.2万-2.4万	本科	Python BI 	1-3年
1178	上海-嘉定区	大数据分析工程师	武汉雄韬氢雄燃料电池科技有限公司	1万-1.5万	本科	数据分析 	3-5年
1179	上海	高级数据交付经理(J19085)	辉瑞制药有限公司(Pfizer Pharmaceuticals Limited)	面议	本科	数据分析 商业数据分析 	5-10年
1180	上海-浦东新区	华为 数据分析	外企德科	8千-1万	本科	数据分析 	不限
1181	上海-静安区	数据分析岗-新瑞计划	易居企业(中国)集团有限公司	6千-8千	本科	数据分析 商业分析 需求分析 商业数据分析 	不限
1182	上海-杨浦区	数据分析实习生	上海诺亚金融服务股份有限公司	2千-4千	本科	数据分析 	无经验
1183	上海-浦东新区	督控分析师（销售支持部(M2)	跨越速运	1万-1.5万	本科	数据分析 数据挖掘 	1-3年
1184	上海-黄浦区	数据分析工程师-上海黄浦	博彦科技	1万-1.5万	本科	Python 数据分析 ETL 	3-5年
1185	上海	项目工程师/数据分析工程师/生信工程师	上海烈冰生物医药科技有限公司	6千-1万	本科	数据分析 Python 高通量测序 	不限
1186	上海-静安区	数据分析与挖掘	易居企业(中国)集团有限公司	7千-9千	本科	数据分析 数据建模 	不限
1187	上海	本地生活-数据分析BI-上海	阿里巴巴集团	面议	本科		无经验
1188	上海-青浦区	督控分析师	跨越速运	8千-1.5万	本科	数据分析 数据挖掘 大数据分析 商业分析 	1-3年
1189	上海-徐汇区	数据分析实习生	与睿企业管理咨询(上海)有限公司	3千-4千	硕士	数据分析 	不限
1190	上海	数据分析	红星美凯龙	8千-1万	本科	数据分析 数据中台 	3-5年
1191	上海-静安区	BI 分析师 （ Power BI 方向 ）	上海西信	1.5万-2万	本科	BI 报表开发 Tableau PowerBI 	3-5年
1192	上海-长宁区	数据分析员	瑞幸咖啡	8千-1万	本科	Python SQL 	1-3年
1193	上海-浦东新区	数据分析经理	苏州易卖东西信息技术有限公司	1.8万-3.5万	本科	数据分析 数据挖掘 	5-10年
1194	上海	Power BI&amp;FineBI	八六三软件	1.2万-1.9万	大专	BI 报表开发 ETL 数据仓库 FineReport PowerBI Python 	3-5年
1195	上海-青浦区	大数据开发工程师（本）	德邦物流	1万-1.5万	本科	数据挖掘 Python 数据建模 数据分析 	无经验
1196	上海	数据分析员	上海答即所问智能科技有限公司	6千-1.2万	本科	数据分析 数据采集 数据监控 商业数据分析 需求分析 模型设计 	1-3年
1197	上海	数据分析与挖掘工程师	华为技术有限公司	面议	本科		无经验
1198	上海	数据分析专家	固安捷贸易有限公司	1.5万-3万	本科	SQL MySQL 数据治理 数据仓库 数据建模 SQL Server 行业分析 数据清洗 	5-10年
1199	上海-青浦区	数据分析专员	煌上煌	6千-8千	大专	数据分析 大数据平台 	1-3年
1200	上海	数据分析岗	中国大地财产保险股份有限公司	8千-1.5万	本科	数据分析 需求分析 SQL 	1-3年
1201	上海	证券研究员，证券分析师	上海沃珑港投资管理合伙企业(有限合伙)	9千-1.5万	本科	宏观分析 行业研究 投资分析 	1-3年
1202	上海	运营分析师	京喜	1.4万-2.4万	本科	数据分析 行业分析 商业数据分析 模型设计 需求分析 	3-5年
1203	上海-虹口区	数据分析--外包	大连斯锐信息技术公司	8千-1万	本科	行业分析 数据分析 	3-5年
1204	上海-浦东新区	督控分析师	跨越速运	1万-1.5万	本科	数据集市 数据监控 数据分析 	1-3年
1205	上海-徐汇区	规划数据分析（华东）	好未来	1.5万-2万	本科	行业分析 商业分析 需求分析 	5-10年
1206	上海-黄浦区	数据分析员	大陆汽车俱乐部	6千-1万	大专	数据分析 大数据分析 	3-5年
1207	上海-徐汇区	数据治理实习生	上海远卓商务咨询有限公司	6千-9千	本科	数据建模 数据仓库 数据治理 数据架构 数据中台 SQL Server Spark 数据采集 	不限
1208	上海-黄浦区	数据分析助理	桦洁商贸	2千-4千	本科	SQL Tableau 	无经验
1209	上海-浦东新区	监督分析师（上海浦东）	跨越速运	1万-1.5万	本科	数据分析 大数据分析 商业数据分析 数据监控 	3-5年
1210	上海-杨浦区	金融大数据分析师	上海数喆数据科技有限公司	1.2万-2.2万	硕士	数据挖掘 数据分析报告 	1-3年
1211	上海	业务数据管理岗	上海灯冉实业有限公司	1.5万-3万	本科	数据分析 	1-3年
1212	上海	数据专员	上海思勃商务咨询有限公司	6千-8千	本科	office 	不限
1213	上海-浦东新区	文职-数据分析（SQL）	塔塔信息技术(中国)股份有限公司上海分公司	4千-5千	大专	数据分析 SQL 	不限
1214	上海	数据分析专员	仪菲集团有限公司	7千-1万	本科	数据分析 	不限
1215	上海	商业分析/经营分析-资深分析师	北京字节跳动科技有限公司	2.5万-5万	高中	商业分析 	不限
1216	上海	数据分析工程师	上海昕跃管理咨询有限公司	8千-1.2万	大专	数据分析 数据挖掘 数据清洗 	3-5年
1217	上海	系统分析员	上海占方信息科技有限公司	6千-8千	大专	数据分析 数据挖掘 数据仓库 大数据分析 	不限
1218	上海-闵行区	资深数据分析(J14097)	上海钧正网络科技有限公司	2万-3万	本科	数据分析 	5-10年
1219	上海	FOF投研业务岗(000992)	中泰证券	1万-1.5万	硕士	投资分析 风险分析 量化分析 	1-3年
1220	上海-浦东新区	数据分析专员（TECNO）	传音控股	1万-1.5万	本科	数据分析 	不限
1221	上海-浦东新区	数据分析员	上海斯缔尔商务信息咨询有限公司	6千-8千	大专	数据分析 	1-3年
1222	上海-闵行区	需求分析师	三棵树涂料股份有限公司	1.5万-3万	本科	数据采集 数据分析 	1-3年
1223	上海-闵行区	数据分析总监	万帮数字能源股份有限公司	2.5万-3.5万	本科	数据分析 大数据分析 	5-10年
1224	上海-浦东新区	数据标注员WA	公安部第三研究所	5千-8千	本科	数据采集 数据建模 舆情分析 需求分析 	无经验
1225	上海-奉贤区	数据分析工程师	雪榕生物	1.5万-2万	本科	数据分析 数据清洗 数据建模 数据监控 数据架构 	5-10年
1226	上海	本地生活-经营数据分析专家-经营管理部	阿里巴巴集团	面议	本科		无经验
1227	上海-静安区	BI 分析师 （ Power BI 方向 ）	软通动力信息技术(集团)股份有限公司	2万-2.5万	本科	Tableau Power BI 数据分析 	3-5年
1228	上海-徐汇区	游戏数据分析经理	中软国际	面议	本科	数据分析 数据挖掘 Python SQL 数据仓库 游戏行业 	1-3年
1229	上海	大数据分析岗JK2010	太平金科	1.5万-2.5万	本科	数据挖掘 数据分析 SQL 	1-3年
1230	上海	Digital Solution Development Lead（外资500强，Contractor）	科锐国际	1.3万-1.5万	本科	数字化 数字生态 	3-5年
1231	上海	Data Processing Intern	百威	2千-4千	本科	数据清洗 	不限
1232	上海-嘉定区	数据分析经理	宏信建发	1万-2万	本科	行业分析 数据分析 	5-10年
1233	上海	数据分析	大连斯锐信息技术公司	1万-1.5万	大专	数据分析 	3-5年
1234	上海-杨浦区	数据分析经理-银行信贷	上海起航股份	1.5万-2万	本科	Python 	1-3年
1235	上海	数据分析助理	上海市住房保障和房屋管理局人才服务考核评价中心	6千-8千	大专	数据分析 	1年以下
1236	上海	数据服务工程师	上海天臣计算机软件有限公司	5千-7千	本科	数据分析 数据采集 	不限
1237	上海	数据治理工程师	顺丰速运	1.5万-2万	本科	数据分析 数据挖掘 	3-5年
1238	上海-浦东新区	数据治理工程师（中级）	北京恒润盛源科技发展有限公司	1.3万-2.5万	本科	大数据分析 数据分析 数据清洗 数据治理 大数据平台 数据中台 	3-5年
1239	上海-闵行区	资深商业分析师-平台用户增长 (MJ001617)	上海紫途电子商务有限公司	2万-4万	本科	数据分析 BI SQL 决策树 商业数据分析 商业分析 	5-10年
1240	上海-闵行区	大数据/人工智能	上海棉豆电子商务有限公司	4千-6千	大专	数据分析 数据挖掘 大数据分析 机器学习 爬虫 数据架构 	不限
1241	上海-嘉定区	数据应用分析工程师	安科瑞	7千-1.4万	本科	数据分析 MySQL Python 	5-10年
1242	上海	港澳资讯杨浦分部：证券分析师	海南港澳资讯产业股份有限公司上海分公司	1.5万-2万	本科	需要持有投顾证 	1-3年
1243	上海-虹口区	瑞典汽车品牌—数据分析专员	上海中智项目外包咨询服务有限公司	1万-1.1万	本科	汽车行业 售后服务 	3-5年
1244	上海	数据主管	奥维思	6千-8千	大专	数据分析 	1-3年
1245	上海	数据工程师	吉祥航空	1.5万-2万	本科	Python 数据采集 数据建模 数据挖掘 	3-5年
1246	上海-浦东新区	消金-风险数据分析岗	上海帅临商务咨询管理中心	1.5万-2万	本科	SAS 	1-3年
1247	上海	本地生活-数据专家-数据模型	阿里巴巴集团	面议	本科		无经验
1248	上海-长宁区	日语EC数据分析	上海材至投资管理有限公司	6千-8千	大专	数据分析 电子商务 EC 日语 excel 	1-3年
1249	上海	统计咨询经理	国新健康保障服务集团股份有限公司北京分公司	7千-1.2万	硕士	Python SAS 	1-3年
1250	上海	投顾助理/分析师助理/售后客服	上海汇正财经顾问有限公司	5.5千-1.1万	本科	金融客服 	不限
1251	上海	数据技术与分析主管	旺旺集团	1.5万-2万	本科	Python 	3-5年
1252	上海	数据清洗专员	RET睿意德	4千-6千	大专	数据清洗 	1-3年
1253	上海	2021数据治理岗（应届）	东方航空	面议	本科	数据采集 数据治理 	不限
1254	上海	新零售数据挖掘师(J10120)	上海百秋电子商务有限公司	8千-1万	本科		1-3年
1255	上海-浦东新区	数据工程师（人体功效）	华熙生物	1万-2万	本科	数据分析 数据建模 	1-3年
1256	上海	数据分析经理	广东美的制冷设备有限公司	面议	本科	数据分析 数据挖掘 市场洞察 社媒聆听 CRM 商业数据分析 数据建模 	5-10年
1257	上海	数据建模师	上海起航股份	1万-1.5万	本科	数据分析 金融 	不限
1258	上海-浦东新区	People Analytics Manager	美亚财产保险有限公司	1.5万-2.5万	本科	SQL SQL Server Python Power BI 	5-10年
1259	上海-宝山区	数据分析经理/总监	微盟	2万-4万	本科	Python 数据分析 数据仓库 R语言 SQL 	5-10年
1260	上海	电商策略分析师	凯诘电商	6千-1万	本科	数据挖掘 行业分析 商业分析 数据建模 	1-3年
1261	上海-徐汇区	数据内容设计	东方财富	面议	本科	数据分析 数据设计 	不限
1262	上海-静安区	Data Product Engineer Shanghai	环瑀企业管理有限公司	4万-4.5万	本科	数据分析 数据挖掘 数据监控 APKTOOL DEX2JAR CHARLES PROXY FRIDA 挖掘数据接口 APP和网页反汇编 数据产品工程师 	3-5年
1263	上海-浦东新区	充电运营分析师	特斯拉汽车	1万-2万	本科	数据分析 SQL BI 数据清洗 Python 数据挖掘 数据建模 商业数据分析 	不限
1264	上海-黄浦区	丹麦玩具公司Assistant Data Analyst(助理数据分析员)	上海中智项目外包咨询服务有限公司	8千-1.2万	本科	BI 数据分析 	1-3年
1265	上海	运营规划分析经理(J10447)	上海锐力健身装备有限公司	3万-3.5万	本科	数据分析 	10年以上
1266	上海-浦东新区	People Analytics Analyst	美亚财产保险有限公司	1万-1.5万	本科	Power BI BI 	1-3年
1267	上海	乘用车预测分析师	上海盖世网络技术有限公司	1.5万-2万	本科	Tableau 数据分析 市场分析 	3-5年
1268	上海	业务分析师（BA）	欣和企业	1.5万-2万	本科	统计学 数据分析 	1-3年
1269	上海	助理风险分析员	科锐国际	1万-1.5万	本科	数据分析 	1-3年
1270	上海-浦东新区	运营分析师（浦东）	上海纽锋养老服务有限公司	1.2万-1.8万	本科	大数据分析 数据分析 	3-5年
1271	上海-浦东新区	People Analytics Analyst	美亚财产保险有限公司	1万-1.5万	本科	Power BI BI 	1-3年
1272	上海	乘用车预测分析师	上海盖世网络技术有限公司	1.5万-2万	本科	Tableau 数据分析 市场分析 	3-5年
1273	上海	业务分析师（BA）	欣和企业	1.5万-2万	本科	统计学 数据分析 	1-3年
1274	上海	助理风险分析员	科锐国际	1万-1.5万	本科	数据分析 	1-3年
1275	上海-浦东新区	运营分析师（浦东）	上海纽锋养老服务有限公司	1.2万-1.8万	本科	大数据分析 数据分析 	3-5年
1276	上海-浦东新区	BI数据工程师	北京新浪支付科技有限公司上海分公司	1.5万-3万	本科	数据分析 Hadoop Hive BI 	3-5年
1277	上海-浦东新区	互联网企业数据分析（金桥）	上海中智项目外包咨询服务有限公司	6千-8千	本科	计算机 信息技术 	1-3年
1278	上海-闵行区	经营分析专家(J14053)	上海钧正网络科技有限公司	2万-3万	本科	数据分析 	5-10年
1279	上海-静安区	交易系统架构师-数据架构(J10695)	光大证券	2万-3万	本科	数据分析 数据挖掘 数据仓库 	5-10年
1280	上海-浦东新区	业务分析师/需求分析师(大数据)	联想集团	面议	本科		5-10年
1281	上海-松江区	产品数据工程师	龙工(上海)机械制造有限公司	6千-1.2万	本科	数据挖掘 需求分析 数据采集 数据建模 	1-3年
1282	上海-闵行区	本科招募—贝壳链家网络销售 贝壳找房大平台	上海链家地产	8千-1.3万	本科	数据分析 大数据平台 需求分析 行业分析 商业分析 商业数据分析 	不限
1283	上海	数据治理经理	惠每移健(北京)科技有限公司	1.5万-2万	本科	数据治理 	5-10年
1284	上海-闵行区	资深商业分析-供应链	上海紫途电子商务有限公司	2.5万-5万	本科	数据分析 Tableau SQL 商业数据分析 	5-10年
1285	上海-浦东新区	Business Analyst（知名外资银行）	上海中智项目外包咨询服务有限公司	1.6万-2.1万	本科	SQL 	3-5年
1286	上海	數據標註師 -人工智能/機器學習 (廣東話)	苹果公司北京	面议	本科	数据标注 	无经验
1287	上海	大数据报告专员	上海旁博律师事务所	6千-1.2万	本科	大数据分析专员 	不限
1288	上海	临床数据管理高级经理（上海）	同宜医药(苏州)有限公司	2万-3万	本科	数据分析 临床数据 临床研究 	3-5年
1289	上海-浦东新区	算法工程师	华为技术有限公司	面议	硕士	Unix Python C/C++ 数据建模 数据挖掘 机器学习 	3-5年
1290	上海-闵行区	外资企业 Data Labeling Reviewer	万宝盛华企业管理咨询（上海）有限公司	7千-9千	本科	数据分析 数据清洗 英语 	不限
1291	上海-浦东新区	数据库管理员（DBA）	上海微电子装备(集团)股份有限公司	1.5万-2万	本科	MySQL Oracle 数据分析 	3-5年
1292	上海-静安区	高级BI顾问（英语熟练）	软通动力信息技术(集团)股份有限公司	3万-5万	本科	BI SPSS Power BI 	5-10年
1293	上海-浦东新区	车平台建模岗	中国大地财产保险股份有限公司	1万-1.5万	本科	数据建模 数据分析 数据挖掘 	不限
1294	上海-浦东新区	Data Advisory Analyst	北京荣信创恒管理咨询有限公司	2万-3万	本科	SQL Python 流利的英语口语 	3-5年
1295	上海-静安区	sas programmer	上海有临医药科技有限公司	8千-1万	本科	数据分析 SAS 	无经验
1296	上海	数字化经理	红蜻蜓	1万-1.8万	本科	数据挖掘 数据分析 数据建模 SPSS 数据架构 数据中台 	3-5年
1297	上海	博士生	梅花生物科技集团股份有限公司	2万-3万	博士	数据分析 数据挖掘 数据建模 深度学习 行业分析 金融 	不限
1298	上海	Online Growth Marketing #4148646	Michael Page	面议	学历不限		无经验
1299	上海	商务智能规划师	万达信息	6千-1.2万	本科	商业分析 行业分析 需求分析 	3-5年
1300	上海-杨浦区	模型工程师	钢企管家(上海)科技有限公司	1万-2万	本科	数据建模 模型设计 	5-10年
1301	深圳	高级数据分析师	深圳市承儒科技有限公司	8千-1万	硕士	Python R语言 SPS 需求分析 数据挖掘 	不限
1302	深圳-福田区	数据分析师	常州威沃数据科技有限公司北京分公司	2万-3.5万	本科	数据分析 	5-10年
1303	深圳-南山区	高级数据分析师	深圳中原地产	1.5万-2.5万	本科	数据分析 数据挖掘 Python 数据清洗 BI SQL 数据建模 数据仓库 	3-5年
1304	深圳	数据分析师	深圳市中信泰金融配套服务有限公司	1.8万-3.6万	本科	大数据分析 数据分析 行业分析 商业数据分析 	3-5年
1305	深圳	初级大数据分析师	深圳市极信科技有限公司	8千-9千	大专	数据分析 Python 数据清洗 	不限
1306	深圳-龙岗区	数据分析师	深圳万科物业	8千-1.2万	本科	Python Tableau SQL BI 	3-5年
1307	深圳	数据分析师	跨越速运	6千-1万	大专	数据分析 数据挖掘 数据清洗 	1-3年
1308	深圳	数据分析师	华彬快速消费品投资管理有限公司	6千-8千	本科	数据分析 	1-3年
1309	深圳-福田区	数据分析师	深圳市品质消费研究院	8千-1万	本科	数据分析 	3-5年
1310	深圳	数据分析师	深圳市远彬科技有限公司	7千-1.4万	大专	数据分析 需求分析 Python 数据挖掘 数据清洗 BI MySQL 大数据分析 	不限
1311	深圳	数据分析师	翰竺科技(北京)有限公司	1万-1.5万	本科	Python SQL 	不限
1312	深圳	数据分析师	艾美特电器(深圳)有限公司	8千-1万	学历不限	需求分析 MySQL 透视图 ORCLE 	1-3年
1313	深圳-龙岗区	数据分析师（双休）	深圳市鑫泽源创新技术有限公司	5千-8千	大专	数据分析 大数据分析 数据监控 	1年以下
1314	深圳-宝安区	数据分析师助理双休底薪6000	深圳市思创达贸易有限公司	6千-8千	大专	office 	不限
1315	深圳-龙华区	数据分析师/销售数据分析	深圳桑椹电子商务有限公司	1万-1.5万	大专	统计学 数据分析 销售业务数据 数据专员 数据 电商数据分析 销售数据分析 	3-5年
1316	深圳	数据分析师/本科以上/高薪	深圳市远彬科技有限公司	7千-1.4万	本科	数据挖掘 SQL Python 数据建模 需求分析 行业分析 商业分析 数据采集 	不限
1317	深圳	数据业务分析师	宝能物流集团有限公司	面议	本科	数据分析 	5-10年
1318	深圳	数据分析师（双休+六险一金）	深圳市友联创科技有限公司	6千-8千	本科	数据分析 数据仓库 	不限
1319	深圳-福田区	数据分析师/IPO企业	小熊U租	1万-1.5万	本科	数据分析 需求分析 SQL Python 	1-3年
1320	深圳-宝安区	数据分析师	鼎盛动力	1.2万-1.8万	本科	数据分析 Python SQL SPS MATLAB 	1-3年
1321	深圳	8K数据分析师（五险一金+包住）	深圳市尚利科技有限公司	8千-1万	大专	数据分析 数据清洗 	1-3年
1322	深圳-南山区	数据分析师	深圳市慧择保险经纪有限公司	1万-1.5万	本科	数据分析 Python SQL SQL Server 	无经验
1323	深圳-南山区	数据分析师	软通动力信息技术(集团)股份有限公司	1万-1.5万	本科	SQL Python 数据清洗 数据分析 Pandas MySQL Hadoop 	1-3年
1324	深圳-宝安区	数据分析师	深圳市腾拓科技有限公司	1万-1.5万	大专	数据分析 销售业务数据 电商 	1-3年
1325	深圳	数据分析师	深圳细雨传媒有限公司	1.5万-2.5万	本科	数据分析 数据监控 SQL Python 回归分析 模型设计 爬虫 MySQL 	3-5年
